,Unnamed: 0,UID,UIN,Name,HW,Quiz,E1,E2,E3,E4,Total,Letter grade
0,0,ctxqdydbh@school.edu,6278071156,Amwzhvv Hfsnkmtvg,69.375,80.0,52.0,73.0,53.0,59.0,63.84375,D+
1,1,zqwlkf@school.edu,6126131600,Bzxymaq Itwpihiat,77.125,74.4,86.0,81.0,86.0,60.0,76.67125,B+
2,2,fpvzcjz@school.edu,5769978790,Nzybmx Vwxdgikg,79.875,74.4,99.0,88.0,99.0,72.0,84.70875,A
3,3,foiqtrw@school.edu,2206806491,Sitpqioevb Gbyba,76.375,86.8,96.0,85.0,64.0,57.0,75.92375,B
4,4,gzdxxjj@school.edu,8175161510,Buvbtfe Sefozup,90.75,77.6,60.0,84.0,86.0,98.0,84.5475,A
5,5,ynaiklmtueqiq@school.edu,6530931390,Wekhihdy Rchka,82.125,71.8,84.0,81.0,87.0,92.0,83.91125,A
6,6,enrccocqlyxpl@school.edu,6922488835,Ysnnj Watpltvvne,92.875,72.0,96.0,51.0,68.0,85.0,79.66875,A
7,7,yrxsavq@school.edu,6947911536,Qrdklvyfe Rtiozlzis,78.5,77.6,54.0,97.0,99.0,95.0,83.885,A
8,8,nyuimtzqdtnyc@school.edu,5423439935,Tvtyaoefjr Yltrqpnbjx,82.375,85.2,73.0,52.0,50.0,97.0,74.76375,B
9,9,zzibaifzmkihs@school.edu,2789928846,Mjciqqukl Bywgq,81.125,82.8,77.0,82.0,67.0,64.0,75.26125,B
10,10,fatlqwdx@school.edu,6686528654,Jomezjpz Xqnwt,74.25,84.2,75.0,85.0,83.0,88.0,81.0325,A
11,11,qupfag@school.edu,1800596685,Lwjjfcwgtb Kizyidv,74.375,74.2,79.0,90.0,58.0,86.0,77.26375,A-
12,12,vzkkbsdqjb@school.edu,2166785718,Lgkazbra Uowqkuaxgu,79.375,80.2,85.0,67.0,79.0,99.0,82.31375,A
13,13,mjfeos@school.edu,6169400059,Tzannr Bzomti,73.375,81.0,78.0,50.0,71.0,84.0,73.09375,B-
14,14,gztomzqhdtt@school.edu,2720732191,Syhgzaui Ikjyqi,74.875,76.4,91.0,73.0,98.0,69.0,79.45875,A
15,15,lbgfu@school.edu,2815880110,Jpmxvsai Uptsrfradr,81.0,66.0,67.0,50.0,77.0,66.0,69.15,C-
16,16,slrwlale@school.edu,1580817508,Svwyqelv Ovcgtjaw,76.375,84.6,98.0,69.0,52.0,63.0,73.00375,B-
17,17,atyuuyf@school.edu,9340058784,Skqhtzg Jhlotyt,71.125,68.2,79.0,80.0,63.0,72.0,72.30125,C+
18,18,ndiqtvgdle@school.edu,4588298612,Ehxiicbfen Cpnaadnje,89.875,79.8,59.0,81.0,73.0,68.0,75.99875,B
19,19,yefjeyizmgbmu@school.edu,4325802325,Sfztgwnn Nboubu,77.125,74.4,86.0,60.0,91.0,80.0,78.27125,A
20,20,tdwtjx@school.edu,1563388784,Jblwcpad Qyumce,80.125,78.4,97.0,98.0,77.0,84.0,85.47125,A+
21,21,miuwlmwff@school.edu,6470760017,Bkpraahvt Rxifljtee,86.75,77.0,89.0,88.0,93.0,100.0,89.8875,A+
22,22,gxobodffig@school.edu,5909802504,Eeonyxkogl Gpgayfeu,77.875,69.4,69.0,60.0,57.0,86.0,71.50875,C+
23,23,ofvpeuweffkou@school.edu,3446954943,Pzmqrldfyh Ajqzumuf,85.125,70.8,82.0,51.0,54.0,61.0,68.61125,D+
24,24,wosvudf@school.edu,4876862657,Yldzrlqn Jmblqmiims,77.625,71.4,59.0,53.0,71.0,83.0,70.59625,C
25,25,orqem@school.edu,1991684124,Noxdpqycs Iqkxpt,82.875,73.2,73.0,96.0,65.0,80.0,79.13875,A
26,26,fjcsfpznlnq@school.edu,9571781509,Smlkkfd Zdtao,80.125,78.2,67.0,63.0,79.0,100.0,79.20125,A
27,27,kwjzcjajqw@school.edu,7462995973,Noorwsar Xhrzcfmmqb,85.5,76.4,63.0,51.0,75.0,53.0,67.965,D+
28,28,qjpundwgikcp@school.edu,5365613079,Tgqkhhwkto Zqosetwyh,79.875,83.6,68.0,71.0,58.0,79.0,73.67875,B-
29,29,kctix@school.edu,1718485091,Xlqqnsowyp Kacsgnyzkt,76.625,81.8,85.0,57.0,88.0,85.0,78.83625,A
30,30,khihkc@school.edu,2676590055,Dqqukdakf Aqqknegg,79.5,77.4,84.0,59.0,81.0,83.0,77.815,A-
31,31,joihlz@school.edu,8227810715,Ixjspuui Pegprucpaj,77.75,73.4,93.0,67.0,57.0,54.0,70.1275,C
32,32,kbopiww@school.edu,6158541032,Tvptswo Hyznwe,85.375,80.6,94.0,74.0,75.0,86.0,83.05375,A
33,33,axjic@school.edu,1391891410,Qgjaos Clanmdslpv,78.75,79.4,74.0,67.0,99.0,64.0,76.4275,B+
