,Unnamed: 0_x,UID,UIN_x,Name_x,Unnamed: 0_y,UIN_y,Name_y,HW,Quiz,E1,E2,E3,E4,Total,Letter grade
0,0,zqrbpk@school.edu,3973566964,Uxugqomexr Snnrnwpg,200,3973566964,Uxugqomexr Snnrnwpg,87.5,69.6,94.0,76.0,63.0,76.0,78.985,A
1,1,osutq@school.edu,1847988281,Jzjszgwaj Nepkrdl,201,1847988281,Jzjszgwaj Nepkrdl,75.0,90.8,58.0,90.0,68.0,88.0,77.83,A-
2,2,mcjiuytcd@school.edu,2407726067,Fyxueqvjqt Cygzlcalzz,202,2407726067,Fyxueqvjqt Cygzlcalzz,84.625,74.6,74.0,80.0,92.0,66.0,78.71625,A
3,3,pauavk@school.edu,1478695622,Mesjr Hsvdabtyz,203,1478695622,Mesjr Hsvdabtyz,81.25,74.0,53.0,67.0,58.0,98.0,74.0125,B
4,4,dtconpef@school.edu,3755603229,Yzqka Pxdzc,204,3755603229,Yzqka Pxdzc,65.375,80.2,52.0,95.0,65.0,51.0,66.36375,D+
5,5,rmerohy@school.edu,8822231334,Fbxncvnv Olpabyhqt,205,8822231334,Fbxncvnv Olpabyhqt,71.375,85.4,57.0,87.0,86.0,87.0,78.28375,A
6,6,rbwllntyw@school.edu,6899091323,Pznloganj Rzovcxyp,206,6899091323,Pznloganj Rzovcxyp,80.125,79.2,58.0,56.0,89.0,56.0,69.60125,C-
7,7,dqtefbabyzqur@school.edu,1816784024,Iyxmjdzw Vprctavvbo,207,1816784024,Iyxmjdzw Vprctavvbo,79.75,74.6,86.0,66.0,70.0,77.0,76.0975,B+
8,8,uvtxkdpgila@school.edu,3068193650,Xnoswvtww Gxfuwbrq,208,3068193650,Xnoswvtww Gxfuwbrq,71.75,85.4,51.0,98.0,99.0,81.0,79.8775,A
9,9,wswgonik@school.edu,3673408512,Luprd Siijxfxm,209,3673408512,Luprd Siijxfxm,76.5,76.0,61.0,96.0,91.0,77.0,79.325,A
10,10,fyqimnc@school.edu,9957436379,Modesgeikw Ehslsxbrm,210,9957436379,Modesgeikw Ehslsxbrm,78.625,83.0,85.0,64.0,55.0,67.0,71.95625,C+
11,11,drjti@school.edu,4669779826,Gdqfapenvb Zopioceopv,211,4669779826,Gdqfapenvb Zopioceopv,69.875,83.0,71.0,94.0,90.0,59.0,75.81875,B
12,12,upzmngzwfrbye@school.edu,4057215078,Zbinapjbxb Rsoblqmea,212,4057215078,Zbinapjbxb Rsoblqmea,82.375,67.4,57.0,87.0,81.0,63.0,73.68375,B-
13,13,shlxadovna@school.edu,7956316688,Fzuvisg Pjimnd,213,7956316688,Fzuvisg Pjimnd,70.5,79.8,75.0,67.0,65.0,65.0,69.655,C-
14,14,afebvht@school.edu,8270763829,Oznuv Shamzbzdz,214,8270763829,Oznuv Shamzbzdz,75.0,70.2,52.0,91.0,80.0,50.0,69.22,C-
15,15,gkzzouoaikerf@school.edu,4758475498,Owxmpsb Nwqtc,215,4758475498,Owxmpsb Nwqtc,81.5,79.8,83.0,95.0,58.0,52.0,74.155,B
16,16,gxybkahjo@school.edu,6414639555,Gpyyraovu Zjoqhrig,216,6414639555,Gpyyraovu Zjoqhrig,78.125,78.8,57.0,80.0,51.0,85.0,72.61125,C+
17,17,ockemvduzsgjy@school.edu,5946036154,Yxmupuq Zyyns,217,5946036154,Yxmupuq Zyyns,90.75,82.4,50.0,56.0,61.0,51.0,66.1775,D+
18,18,mcgotkovjosmh@school.edu,1274030699,Enjnf Axbnpufjzm,218,1274030699,Enjnf Axbnpufjzm,81.875,85.4,60.0,57.0,90.0,100.0,80.05875,A
19,19,uizgcvcbgnjw@school.edu,8975553717,Rscstwidu Kmyevuqlw,219,8975553717,Rscstwidu Kmyevuqlw,85.0,71.6,62.0,94.0,71.0,89.0,80.26,A
20,20,qxrpgepgyvdr@school.edu,7081799272,Xhoooish Hmdvjm,220,7081799272,Xhoooish Hmdvjm,72.0,85.6,50.0,91.0,70.0,65.0,71.21,C+
21,21,sbjbdyzjlhfy@school.edu,3460263208,Zaqeykes Redaffyj,221,3460263208,Zaqeykes Redaffyj,74.75,80.8,54.0,65.0,62.0,53.0,64.5175,D+
22,22,jegarpemvkq@school.edu,2086302729,Cbsfcvjmca Zditg,222,2086302729,Cbsfcvjmca Zditg,77.125,81.0,97.0,65.0,86.0,61.0,76.78125,B+
23,23,gsimcitwsdikv@school.edu,9785629593,Czkohjxsd Yryhccdgme,223,9785629593,Czkohjxsd Yryhccdgme,82.5,89.2,92.0,86.0,79.0,62.0,80.495,A
24,24,pmtyixgpommw@school.edu,3337423813,Blbmdmyrt Ueuuekr,224,3337423813,Blbmdmyrt Ueuuekr,78.125,73.4,82.0,61.0,76.0,82.0,76.12125,B+
25,25,fnsqqpq@school.edu,2776007265,Qgxbttm Qwaqq,225,2776007265,Qgxbttm Qwaqq,82.875,83.4,59.0,86.0,89.0,86.0,81.35875,A
