,Unnamed: 0_x,UID,UIN_x,Name_x,Unnamed: 0_y,UIN_y,Name_y,HW,Quiz,E1,E2,E3,E4,Total,Letter grade
0,0,baxkutzwn@school.edu,1574251982,Hpdwj Qiaiu,400,1574251982,Hpdwj Qiaiu,82.25,76.0,89.0,57.0,54.0,61.0,70.3625,C
1,1,eegiyuvl@school.edu,6580107929,Ebtwvguki Tcgbfzugcv,401,6580107929,Ebtwvguki Tcgbfzugcv,76.375,72.2,60.0,59.0,85.0,72.0,71.31375,C+
2,2,siiufbutg@school.edu,9914367809,Rudqvzyaog Ntuiyypel,402,9914367809,Rudqvzyaog Ntuiyypel,79.25,87.6,87.0,82.0,85.0,74.0,81.4725,A
3,3,zeroqicmmab@school.edu,4901317138,Aizdfcfm Zalff,403,4901317138,Aizdfcfm Zalff,81.375,78.6,58.0,86.0,90.0,53.0,73.90375,B-
4,4,zflpjlcug@school.edu,3704606147,Xuddwwaz Sjqaenmvc,404,3704606147,Xuddwwaz Sjqaenmvc,67.75,75.4,72.0,89.0,87.0,70.0,75.6775,B
5,5,tkwgo@school.edu,2348609533,Oxdnygnvk Jpbtrh,405,2348609533,Oxdnygnvk Jpbtrh,89.5,66.0,53.0,100.0,96.0,79.0,82.125,A
6,6,qwxvb@school.edu,5648583440,Pprtgmhnz Qpflpwfitu,406,5648583440,Pprtgmhnz Qpflpwfitu,81.375,89.8,95.0,96.0,61.0,66.0,80.32375,A
7,7,xtytfz@school.edu,7117216464,Osudugqq Eoexciee,407,7117216464,Osudugqq Eoexciee,86.625,65.6,94.0,84.0,98.0,51.0,79.81625,A
8,8,ffmhvvhw@school.edu,4383983656,Khckv Anhdkkye,408,4383983656,Khckv Anhdkkye,82.5,76.0,55.0,81.0,58.0,62.0,69.725,C-
9,9,qrydycl@school.edu,1798617880,Ahyasxi Fordyzks,409,1798617880,Ahyasxi Fordyzks,73.375,76.4,72.0,95.0,55.0,99.0,79.08375,A
10,10,efwcjleuhnb@school.edu,5929037705,Snraxjll Yxseiqv,410,5929037705,Snraxjll Yxseiqv,80.875,89.4,82.0,100.0,55.0,84.0,81.50875,A
11,11,rzpfhnmsrehil@school.edu,6115616252,Egqitibfma Cqxaq,411,6115616252,Egqitibfma Cqxaq,82.75,83.4,93.0,60.0,61.0,79.0,76.9275,B+
12,12,pbxbxdhaxg@school.edu,2311921483,Ewqrj Qhurkres,412,2311921483,Ewqrj Qhurkres,83.375,79.8,61.0,58.0,85.0,76.0,74.62375,B
13,13,addmnh@school.edu,2378475135,Fvktgeed Mmlrnl,413,2378475135,Fvktgeed Mmlrnl,76.0,81.0,66.0,84.0,81.0,59.0,73.55,B-
14,14,irscaamrfm@school.edu,4567503337,Wwqxeozjr Bxqokls,414,4567503337,Wwqxeozjr Bxqokls,78.0,84.2,87.0,67.0,76.0,91.0,80.62,A
15,15,denkmtkkts@school.edu,7061119849,Eboxtid Uxfxcmta,415,7061119849,Eboxtid Uxfxcmta,68.375,86.6,76.0,58.0,78.0,56.0,68.75375,D+
16,16,vqyvlxhjqgowh@school.edu,5945041326,Krmohawhuh Iqcau,416,5945041326,Krmohawhuh Iqcau,79.5,75.4,62.0,91.0,61.0,93.0,78.115,A
17,17,uheynxsbj@school.edu,6877610494,Xnrttx Qzoedgi,417,6877610494,Xnrttx Qzoedgi,78.875,79.6,53.0,63.0,71.0,97.0,75.12875,B
18,18,wcdubrcskbh@school.edu,3677837369,Yxrulmcfp Ffgsghdy,418,3677837369,Yxrulmcfp Ffgsghdy,75.375,75.4,76.0,63.0,62.0,56.0,67.73375,D+
19,19,ponsln@school.edu,1357026741,Kmpovzuaa Dawakp,419,1357026741,Kmpovzuaa Dawakp,85.625,68.6,63.0,81.0,99.0,94.0,83.51625,A
20,20,pakktaynlitrx@school.edu,8180780705,Wvepuks Qafdlpgj,420,8180780705,Wvepuks Qafdlpgj,75.25,85.4,58.0,75.0,74.0,87.0,75.8025,B
21,21,eyrjhxjs@school.edu,4609626600,Lwyhask Vfnbxegu,421,4609626600,Lwyhask Vfnbxegu,78.75,85.2,91.0,84.0,74.0,67.0,78.9575,A
22,22,krkzxboqe@school.edu,4462187107,Ymwnmicj Lotqzpy,422,4462187107,Ymwnmicj Lotqzpy,86.875,73.6,88.0,70.0,91.0,51.0,76.62875,B+
23,23,xhmvjvm@school.edu,6902010466,Yvrmiqdgle Ncdux,423,6902010466,Yvrmiqdgle Ncdux,76.25,77.0,84.0,52.0,70.0,92.0,76.0625,B+
24,24,mpoaafpkj@school.edu,7661850107,Wtqwvo Qthgpg,424,7661850107,Wtqwvo Qthgpg,78.375,69.8,94.0,88.0,77.0,66.0,78.62375,A
25,25,rvqthytktzbzk@school.edu,5604601133,Uzqqbk Czixt,425,5604601133,Uzqqbk Czixt,82.0,90.8,91.0,90.0,79.0,89.0,86.38,A+
26,26,obpwp@school.edu,7321037876,Hbixbl Ixpepkxzi,426,7321037876,Hbixbl Ixpepkxzi,76.125,76.6,87.0,66.0,54.0,98.0,77.34125,A-
27,27,nejfverumwiys@school.edu,4008008953,Dkjzssec Gydrz,427,4008008953,Dkjzssec Gydrz,81.5,69.4,92.0,76.0,64.0,70.0,76.115,B+
28,28,pokulcnxzfv@school.edu,9139565869,Uuzpu Dsevrsirp,428,9139565869,Uuzpu Dsevrsirp,71.375,74.2,99.0,81.0,76.0,51.0,73.86375,B-
29,29,pbxhbtitqo@school.edu,6653797634,Guojenjwcj Bbsrill,429,6653797634,Guojenjwcj Bbsrill,81.875,79.8,93.0,52.0,53.0,60.0,70.14875,C
30,30,moqpfkuethje@school.edu,7077530018,Yhwmoa Nhnny,430,7077530018,Yhwmoa Nhnny,78.0,78.4,90.0,72.0,58.0,73.0,74.94,B
31,31,qxcifggyy@school.edu,7067801638,Upwnkke Djtea,431,7067801638,Upwnkke Djtea,86.0,84.0,72.0,57.0,51.0,74.0,71.7,C+
32,32,dguzfuc@school.edu,2332469809,Oizacohch Oynxvxaeqq,432,2332469809,Oizacohch Oynxvxaeqq,77.375,79.4,55.0,52.0,59.0,82.0,68.58375,D+
33,33,cospmjmsrbdk@school.edu,5219122508,Xkcjhlhlv Bwovwnqjn,433,5219122508,Xkcjhlhlv Bwovwnqjn,79.125,80.0,65.0,79.0,56.0,77.0,73.18125,B-
34,34,xfuiclfio@school.edu,9650330024,Ufqrrgv Svtjate,434,9650330024,Ufqrrgv Svtjate,78.125,74.4,63.0,96.0,67.0,69.0,74.67125,B
