,UID,UIN,Name,HW,Quiz,E1,E2,E3,E4
0,ctxqdydbh@school.edu,6278071156,Amwzhvv Hfsnkmtvg,69.375,80.0,52.0,73.0,53.0,59.0
1,zqwlkf@school.edu,6126131600,Bzxymaq Itwpihiat,77.125,74.4,86.0,81.0,86.0,60.0
2,fpvzcjz@school.edu,5769978790,Nzybmx Vwxdgikg,79.875,74.4,99.0,88.0,99.0,72.0
3,foiqtrw@school.edu,2206806491,Sitpqioevb Gbyba,76.375,86.8,96.0,85.0,64.0,57.0
4,gzdxxjj@school.edu,8175161510,Buvbtfe Sefozup,90.75,77.6,60.0,84.0,86.0,98.0
5,ynaiklmtueqiq@school.edu,6530931390,Wekhihdy Rchka,82.125,71.8,84.0,81.0,87.0,92.0
6,enrccocqlyxpl@school.edu,6922488835,Ysnnj Watpltvvne,92.875,72.0,96.0,51.0,68.0,85.0
7,yrxsavq@school.edu,6947911536,Qrdklvyfe Rtiozlzis,78.5,77.6,54.0,97.0,99.0,95.0
8,nyuimtzqdtnyc@school.edu,5423439935,Tvtyaoefjr Yltrqpnbjx,82.375,85.2,73.0,52.0,50.0,97.0
9,zzibaifzmkihs@school.edu,2789928846,Mjciqqukl Bywgq,81.125,82.8,77.0,82.0,67.0,64.0
10,fatlqwdx@school.edu,6686528654,Jomezjpz Xqnwt,74.25,84.2,75.0,85.0,83.0,88.0
11,qupfag@school.edu,1800596685,Lwjjfcwgtb Kizyidv,74.375,74.2,79.0,90.0,58.0,86.0
12,vzkkbsdqjb@school.edu,2166785718,Lgkazbra Uowqkuaxgu,79.375,80.2,85.0,67.0,79.0,99.0
13,mjfeos@school.edu,6169400059,Tzannr Bzomti,73.375,81.0,78.0,50.0,71.0,84.0
14,gztomzqhdtt@school.edu,2720732191,Syhgzaui Ikjyqi,74.875,76.4,91.0,73.0,98.0,69.0
15,lbgfu@school.edu,2815880110,Jpmxvsai Uptsrfradr,81.0,66.0,67.0,50.0,77.0,66.0
16,slrwlale@school.edu,1580817508,Svwyqelv Ovcgtjaw,76.375,84.6,98.0,69.0,52.0,63.0
17,atyuuyf@school.edu,9340058784,Skqhtzg Jhlotyt,71.125,68.2,79.0,80.0,63.0,72.0
18,ndiqtvgdle@school.edu,4588298612,Ehxiicbfen Cpnaadnje,89.875,79.8,59.0,81.0,73.0,68.0
19,yefjeyizmgbmu@school.edu,4325802325,Sfztgwnn Nboubu,77.125,74.4,86.0,60.0,91.0,80.0
20,tdwtjx@school.edu,1563388784,Jblwcpad Qyumce,80.125,78.4,97.0,98.0,77.0,84.0
21,miuwlmwff@school.edu,6470760017,Bkpraahvt Rxifljtee,86.75,77.0,89.0,88.0,93.0,100.0
22,gxobodffig@school.edu,5909802504,Eeonyxkogl Gpgayfeu,77.875,69.4,69.0,60.0,57.0,86.0
23,ofvpeuweffkou@school.edu,3446954943,Pzmqrldfyh Ajqzumuf,85.125,70.8,82.0,51.0,54.0,61.0
24,wosvudf@school.edu,4876862657,Yldzrlqn Jmblqmiims,77.625,71.4,59.0,53.0,71.0,83.0
25,orqem@school.edu,1991684124,Noxdpqycs Iqkxpt,82.875,73.2,73.0,96.0,65.0,80.0
26,fjcsfpznlnq@school.edu,9571781509,Smlkkfd Zdtao,80.125,78.2,67.0,63.0,79.0,100.0
27,kwjzcjajqw@school.edu,7462995973,Noorwsar Xhrzcfmmqb,85.5,76.4,63.0,51.0,75.0,53.0
28,qjpundwgikcp@school.edu,5365613079,Tgqkhhwkto Zqosetwyh,79.875,83.6,68.0,71.0,58.0,79.0
29,kctix@school.edu,1718485091,Xlqqnsowyp Kacsgnyzkt,76.625,81.8,85.0,57.0,88.0,85.0
30,khihkc@school.edu,2676590055,Dqqukdakf Aqqknegg,79.5,77.4,84.0,59.0,81.0,83.0
31,joihlz@school.edu,8227810715,Ixjspuui Pegprucpaj,77.75,73.4,93.0,67.0,57.0,54.0
32,kbopiww@school.edu,6158541032,Tvptswo Hyznwe,85.375,80.6,94.0,74.0,75.0,86.0
33,axjic@school.edu,1391891410,Qgjaos Clanmdslpv,78.75,79.4,74.0,67.0,99.0,64.0
34,gbnzzk@school.edu,8856270558,Pmezgtpj Sfnwx,90.125,84.8,73.0,68.0,52.0,51.0
35,zudiojo@school.edu,8700477732,Rpbrxitpd Venvaq,82.75,79.2,90.0,94.0,90.0,85.0
36,ueggwbgqvonda@school.edu,6706186426,Hypwdysx Nrudccq,81.75,73.4,55.0,72.0,61.0,100.0
37,xvxlpsvlvmz@school.edu,3680656535,Lybytujoae Zkkjbllwgg,74.25,71.4,82.0,81.0,59.0,88.0
38,ebqnzki@school.edu,6999480977,Ahpej Yfrtd,83.125,78.8,75.0,78.0,51.0,71.0
39,kvolwqgseujye@school.edu,9761210244,Qktliuqa Kzmwc,77.75,78.4,84.0,52.0,75.0,59.0
40,qtjeup@school.edu,5504430136,Nqhgrtp Yifvai,84.375,80.8,99.0,70.0,94.0,50.0
41,mcfyytknvk@school.edu,1416823257,Ocflti Bzczostydl,84.375,83.4,68.0,78.0,65.0,92.0
42,qsckorjtim@school.edu,6718505439,Mtcuecisej Hekyvrj,88.375,78.6,88.0,55.0,53.0,74.0
43,ltlshqhmflwev@school.edu,5457310491,Sgnrpgagt Tnftopa,85.625,77.6,78.0,79.0,52.0,96.0
44,xaguikvtwyak@school.edu,6173439713,Urimqprkr Djuisyvbo,85.25,86.6,81.0,84.0,73.0,55.0
45,oymxemtg@school.edu,6542452645,Cqbxshpx Wlxlih,77.875,76.8,79.0,88.0,98.0,68.0
46,anbtbzxnkxkc@school.edu,4753118606,Xtrtpmqyl Amcijkc,81.75,71.4,64.0,91.0,85.0,75.0
47,nhpedeicrhmcs@school.edu,5718190057,Hdagki Dbdkknvo,83.5,74.6,100.0,54.0,95.0,66.0
48,kcwnqrhaksq@school.edu,8286449202,Apizdhdgdn Dlwphfhb,76.75,84.6,50.0,94.0,52.0,90.0
49,xefaqejymj@school.edu,8851148135,Iwidywmkeq Qxrgvk,76.125,83.2,100.0,98.0,99.0,69.0
50,fiqyykdl@school.edu,3146496241,Zspwja Qjdlg,83.875,86.2,67.0,71.0,54.0,51.0
51,sybewxdxry@school.edu,4588981273,Teekn Wpqujx,84.5,76.6,91.0,77.0,87.0,87.0
52,pkzcxzu@school.edu,1809811114,Juapxgpn Rgrptvfniu,79.25,78.2,59.0,67.0,53.0,95.0
53,kushtsddt@school.edu,3513487464,Jdikjlzu Gijfgmwh,67.625,75.8,71.0,97.0,73.0,99.0
54,uuanzokad@school.edu,9312370931,Iuwoal Zqeem,83.75,72.4,66.0,77.0,59.0,89.0
55,rbnvatnnjz@school.edu,1975917381,Geqltuu Vcyykf,85.5,80.2,58.0,86.0,69.0,78.0
56,esgbam@school.edu,4806493450,Gwnrr Jvvnpd,90.375,80.4,50.0,67.0,58.0,82.0
57,hengfyk@school.edu,3495072998,Uipokxndi Ehkifn,74.375,83.6,54.0,90.0,73.0,97.0
58,rlntqyxkcub@school.edu,7613103589,Detrxu Vcemasvq,83.625,84.0,88.0,88.0,55.0,71.0
59,jewcgxxlds@school.edu,1923646604,Azghbjb Butnimrzc,88.5,79.0,88.0,82.0,61.0,75.0
60,txfaxebqvdgd@school.edu,2331749283,Dyzwdluh Ogsehqzvs,83.375,77.4,98.0,89.0,95.0,76.0
61,fivmbsamzcrw@school.edu,8526973014,Atrxi Mptwwxds,71.75,93.4,80.0,57.0,100.0,91.0
62,ncztib@school.edu,2155157340,Drpjedooc Vpcjeumd,85.125,74.6,99.0,65.0,91.0,97.0
63,eeneeauidgeue@school.edu,6887372093,Zlobblc Fcdcdx,79.125,76.4,65.0,98.0,82.0,83.0
64,ddvktv@school.edu,6879789863,Hrybomrb Fwoqvn,82.5,79.0,63.0,86.0,55.0,74.0
65,yehkp@school.edu,1733822522,Mejrepdgp Tocmcybqsn,75.375,82.2,74.0,93.0,100.0,77.0
66,zsvjfe@school.edu,4089577474,Blyexturg Gkwkmqub,79.375,81.6,93.0,78.0,90.0,74.0
67,bucmxbkuo@school.edu,8730534982,Jajyjkp Fybuzhhm,74.25,87.0,60.0,68.0,90.0,64.0
68,rsbakmwxaygjj@school.edu,1925504699,Eyrkaqj Phaswdps,80.5,69.2,73.0,60.0,57.0,91.0
69,cuyjkpgjlagzy@school.edu,1357993845,Ainperig Odwndmxyk,73.5,75.8,52.0,78.0,66.0,58.0
70,mvsfmgbzq@school.edu,5305859272,Miaex Tnzht,84.875,74.4,81.0,68.0,80.0,78.0
71,vxhevel@school.edu,5713992406,Kpkarm Gdadnrwl,88.125,81.4,78.0,75.0,99.0,91.0
72,iecisqcfv@school.edu,1654605015,Luteg Byakgihpsu,84.875,86.2,100.0,66.0,91.0,79.0
73,ycmrqu@school.edu,5383868385,Trepufru Znmwmjcqu,81.0,74.8,54.0,95.0,88.0,74.0
74,qdlgghonnywfb@school.edu,9359602634,Acsbmxs Nmmio,72.375,83.8,60.0,64.0,79.0,95.0
75,filtilt@school.edu,7111164818,Aqpwbxj Eqqdg,85.0,74.4,75.0,62.0,91.0,100.0
76,gunwpjwdyhy@school.edu,3645588217,Ksoighgkoe Wowjgje,86.0,81.8,71.0,77.0,56.0,87.0
77,iyvpf@school.edu,3109341325,Bcurowvhdt Idgejxolts,83.625,70.6,90.0,55.0,78.0,92.0
78,qgkyltfbwn@school.edu,9436053942,Sftuefch Zheli,89.5,77.4,58.0,66.0,98.0,51.0
79,bxzqdfagsvkvx@school.edu,1319175165,Klttilcos Uparzoto,70.0,75.2,76.0,69.0,79.0,52.0
80,nanalqzdbuikf@school.edu,5778283567,Zaskrpd Wvyffik,77.0,86.0,80.0,76.0,100.0,63.0
81,farjvzjo@school.edu,9199241808,Spwgis Dnebtjvv,87.75,91.0,52.0,88.0,88.0,84.0
